timestamp,x_sensor,u_hinf
0,0,0
0.1,0,1
0.100078125,1.20014574306698e-08,1
0.10015625,4.55746116978176e-08,1
0.100247306977584,1.03049675422278e-07,1
0.100336709658546,1.65739053139923e-07,1
0.100423604853683,2.20787272986472e-07,1
0.100519098023278,2.66553767139679e-07,1
0.100623606291807,2.99136954895226e-07,1
0.100743755097744,3.27637584400517e-07,1
0.100861561997678,3.66466551264093e-07,1
0.101003639918055,4.43668546434859e-07,1
0.101134521819888,5.3519285835657e-07,1
0.101253091085928,6.14703095124751e-07,1
0.101391312610377,6.86370510302154e-07,1
0.101529621884045,7.43281990599719e-07,1
0.101648693680286,8.03887474963545e-07,1
0.101775952289613,9.022967891855e-07,1
0.101915521930635,1.05047743230978e-06,1
0.102038937431335,1.19068940178205e-06,1
0.102160941105221,1.30399109929587e-06,1
0.102301893433994,1.37649411213306e-06,1
0.102441440137068,1.39196404627513e-06,1
0.10256194058582,1.38664377310669e-06,1
0.102697047433054,1.38985038070597e-06,1
0.102837996662144,1.41331184309378e-06,1
0.102961485047558,1.43675271647542e-06,1
0.103088153263572,1.44368398782061e-06,1
0.103229897827022,1.42273034828915e-06,1
0.10336099900333,1.3918062907577e-06,1
0.10348394140846,1.37573248619963e-06,1
0.103628675469636,1.38840342054567e-06,1
0.103773712603084,1.42006265670167e-06,1
0.103896616708729,1.43171595107303e-06,1
0.104034800995255,1.40105967819796e-06,1
0.104178645048099,1.32028637535042e-06,1
0.104303782589977,1.23475767209483e-06,1
0.104434190809547,1.16144569558023e-06,1
0.10457807269343,1.11698801958933e-06,1
0.104708644587443,1.10052661864277e-06,1
0.104834652743901,1.08598261443218e-06,1
0.104980505567115,1.05529985904544e-06,1
0.105121549870129,1.01956658923712e-06,1
0.105246451891689,1.00205999481991e-06,1
0.105392536217538,1.01272985176908e-06,1
0.10553976716211,1.04477130589067e-06,1
0.105665765095206,1.06220347265934e-06,1
0.105804583249462,1.04714496003902e-06,1
0.105951570762242,9.94165981399647e-07,1
0.106080046448165,9.42285653542235e-07,1
0.106213161607023,9.12832608817002e-07,1
0.106360489250745,9.23672932665504e-07,1
0.10649355801898,9.59853773385027e-07,1
0.106623150101125,9.95836637097693e-07,1
0.106771936519235,1.02010719080729e-06,1
0.106912362390808,1.03160252713117e-06,1
0.107040602236892,1.04838211151318e-06,1
0.107191774312399,1.08644332445513e-06,1
0.107341701427756,1.12956429399464e-06,1
0.107470160447228,1.14761320138832e-06,1
0.107621268820833,1.1306070082586e-06,1
0.107773141114489,1.08660017570862e-06,1
0.107902502843652,1.05718365275309e-06,1
0.108049827935306,1.059389678394e-06,1
0.108201906833578,1.10053661608508e-06,1
0.108332489685559,1.14462377794716e-06,1
0.108476154712826,1.17624989848233e-06,1
0.108628456023825,1.18250017328179e-06,1
0.108760725908788,1.17787402591846e-06,1
0.108901175602697,1.17900099793263e-06,1
0.10905386335661,1.18884628223676e-06,1
0.109188426635361,1.18989266137634e-06,1
0.109326367935568,1.16831091185708e-06,1
0.109479733824991,1.12012052787252e-06,1
0.109617228247281,1.07850403324752e-06,1
0.109753498604571,1.0637620916095e-06,1
0.109907858888037,1.08774952207284e-06,1
0.110048744659282,1.12881442748179e-06,1
0.110184157159257,1.15845741454182e-06,1
0.110339723359162,1.16172334277914e-06,1
0.110484033296695,1.14230525266506e-06,1
0.110619255943904,1.12280254185199e-06,1
0.110776061173277,1.11215853731307e-06,1
0.110923271362213,1.10710039689116e-06,1
0.111058778671476,1.09292801520758e-06,1
0.111216710010353,1.06075591742016e-06,1
0.111365893572485,1.03250989908861e-06,1
0.111501993267679,1.03002359187552e-06,1
0.111660887342678,1.06381008253486e-06,1
0.111811064787608,1.11259748299781e-06,1
0.111947961649549,1.14372039995569e-06,1
0.112107680639705,1.14468161315021e-06,1
0.112258083367793,1.11957361119253e-06,1
0.112395938125187,1.09549722204478e-06,1
0.112556395328541,1.08320719245614e-06,1
0.112706518903034,1.08271313709554e-06,1
0.112845487056617,1.07902107818158e-06,1
0.113006642390647,1.06616869076457e-06,1
0.113156184070937,1.05958187685002e-06,1
0.113296442362086,1.07381282140839e-06,1
0.113458293407168,1.11566687852685e-06,1
0.113607077025915,1.15637940399609e-06,1
0.113748848839525,1.17241120478611e-06,1
0.11391142633024,1.15333805678791e-06,1
0.11405935014256,1.11735094272812e-06,1
0.114202940062765,1.08942574259318e-06,1
0.114366311667526,1.08058794496409e-06,1
0.114513321104222,1.0862098216666e-06,1
0.114659174077069,1.09056220399167e-06,1
0.11482345898926,1.08987004194274e-06,1
0.114969538623585,1.09488371422264e-06,1
0.115118356518461,1.11550254073298e-06,1
0.115283757999377,1.14930481420885e-06,1
0.115428944501751,1.16707050239084e-06,1
0.115581952548059,1.15603193732196e-06,1
0.115748827873386,1.11491445659199e-06,1
0.115893262287268,1.07852926356117e-06,1
0.116052954962389,1.06149120840178e-06,1
0.116221972845035,1.07202712597895e-06,1
0.116366073737793,1.08871532179429e-06,1
0.11653723411241,1.10112196565836e-06,1
0.11670297715114,1.10785864856878e-06,1
0.116848334196449,1.11939862669458e-06,1
0.117017785757941,1.13970028530402e-06,1
0.11717290282621,1.14897037022366e-06,1
0.11732235007432,1.13488629289621e-06,1
0.11749232540315,1.09540315011281e-06,1
0.117643260683837,1.06216446043067e-06,1
0.117798563004355,1.05234447849092e-06,1
0.117970103805323,1.07286881225614e-06,1
0.11811876006919,1.0999417271942e-06,1
0.118284147360012,1.11977962542288e-06,1
0.11845865804341,1.1258487277197e-06,1
0.118606690873289,1.12868588076826e-06,1
0.118781023848513,1.13472196769388e-06,1
0.118943654481652,1.13292482215109e-06,1
0.11909515493961,1.11452262372926e-06,1
0.119269013202976,1.07963686195171e-06,1
0.119423582538011,1.05764899479525e-06,1
0.119582896839115,1.06214648697606e-06,1
0.119758657575837,1.09485769902799e-06,1
0.119910080739285,1.12507242966078e-06,1
0.120085056320563,1.14048435454404e-06,1
0.120259875339517,1.13549435189023e-06,1
0.120411817543277,1.12713220681476e-06,1
0.120588805063962,1.12008229493614e-06,1
0.120748147836848,1.10989351622044e-06,1
